Anc	Der	PanelFreqA	PanelFreqB	Num
0	12	0.75	1.0	1
0	12	1.0	0.9	1
0	13	0.25	0.3	1
0	13	0.9	1.0	1
0	13	1.0	0.0	1
0	13	1.0	0.8	1
0	13	1.0	0.9	1
0	14	0.3	0.4	1
0	14	0.5	0.15	1
0	14	0.6	0.55	1
0	14	0.75	0.7	1
0	14	0.8	0.55	1
0	14	0.8	0.75	1
0	14	0.9	0.8	1
0	14	1.0	0.7	1
0	14	1.0	0.75	1
0	14	1.0	0.8	1
0	14	1.0	0.85	1
0	14	1.0	0.9	1
0	15	0.5	0.55	1
0	15	0.6	0.9	1
0	15	0.65	0.1	1
0	15	0.7	0.7	1
0	15	0.75	0.35	1
0	15	0.75	0.65	1
0	15	0.75	0.75	1
0	15	0.75	0.9	1
0	15	0.8	0.75	1
0	15	0.85	0.4	1
0	15	0.9	0.55	1
0	15	0.9	0.7	1
0	15	0.9	0.8	1
0	15	0.95	0.45	1
0	15	0.95	0.55	1
0	15	0.95	0.65	1
0	15	0.95	0.7	1
0	15	0.95	1.0	1
0	15	1.0	0.1	1
0	15	1.0	0.8	1
0	16	0.25	0.05	1
0	16	0.45	0.6	1
0	16	0.55	0.3	1
0	16	0.6	0.55	1
0	16	0.65	0.15	1
0	16	0.7	0.5	1
0	16	0.7	0.55	1
0	16	0.7	0.6	1
0	16	0.75	0.8	1
0	16	0.8	0.4	1
0	16	0.8	0.5	1
0	16	0.8	0.8	2
0	16	0.8	0.85	1
0	16	0.85	0.55	1
0	16	0.85	0.65	1
0	16	0.85	0.75	1
0	16	0.85	0.95	1
0	16	0.9	0.45	1
0	16	0.9	0.95	1
0	16	0.9	1.0	1
0	16	0.95	0.65	1
0	16	0.95	0.75	2
0	16	0.95	0.8	1
0	16	1.0	0.5	1
0	16	1.0	0.6	1
0	16	1.0	0.65	1
0	16	1.0	0.7	1
0	16	1.0	0.75	1
0	16	1.0	0.8	3
0	16	1.0	0.85	3
0	17	0.4	0.5	1
0	17	0.45	0.3	1
0	17	0.5	0.85	1
0	17	0.55	0.7	1
