Anc	Der	PanelFreq	Num
0	1	0.01	128
0	1	0.02	108
0	1	0.03	101
0	1	0.04	82
0	1	0.05	101
0	1	0.06	119
0	1	0.07	104
0	1	0.08	84
0	1	0.09	103
0	1	0.1	103
0	1	0.11	97
0	1	0.12	97
0	1	0.13	99
0	1	0.14	90
0	1	0.15	106
0	1	0.16	135
0	1	0.17	90
0	1	0.18	110
0	1	0.19	110
0	1	0.2	98
0	1	0.21	117
0	1	0.22	129
0	1	0.23	99
0	1	0.24	106
0	1	0.25	120
0	1	0.26	105
0	1	0.27	111
0	1	0.28	124
0	1	0.29	122
0	1	0.3	99
0	1	0.31	112
0	1	0.32	93
0	1	0.33	100
0	1	0.34	107
0	1	0.35	107
0	1	0.36	107
0	1	0.37	104
0	1	0.38	79
0	1	0.39	96
0	1	0.4	111
0	1	0.41	143
0	1	0.42	113
0	1	0.43	77
0	1	0.44	107
0	1	0.45	94
0	1	0.46	94
0	1	0.47	94
0	1	0.48	120
0	1	0.49	86
0	1	0.5	106
0	1	0.51	106
0	1	0.52	94
0	1	0.53	102
0	1	0.54	97
0	1	0.55	118
0	1	0.56	93
0	1	0.57	82
0	1	0.58	135
0	1	0.59	98
0	1	0.6	123
0	1	0.61	114
0	1	0.62	101
0	1	0.63	101
0	1	0.64	105
0	1	0.65	87
0	1	0.66	101
0	1	0.67	103
0	1	0.68	103
0	1	0.69	76
0	1	0.7	98
0	1	0.71	109
0	1	0.72	95
0	1	0.73	117
0	1	0.74	118
0	1	0.75	115
0	1	0.76	110
0	1	0.77	106
0	1	0.78	126
0	1	0.79	130
0	1	0.8	85
0	1	0.81	116
0	1	0.82	106
0	1	0.83	99
0	1	0.84	117
0	1	0.85	104
0	1	0.86	94
0	1	0.87	93
0	1	0.88	100
0	1	0.89	95
0	1	0.9	122
0	1	0.91	104
0	1	0.92	75
0	1	0.93	92
0	1	0.94	104
0	1	0.95	99
0	1	0.96	119
0	1	0.97	94
0	1	0.98	112
0	1	0.99	87
0	10	0.44	1
0	10	0.45	1
0	10	0.54	1
0	10	0.65	1
0	10	0.67	1
0	10	0.78	1
0	10	0.85	1
0	10	0.87	1
0	10	0.9	2
0	10	0.92	1
0	11	0.76	1
0	11	0.77	1
0	11	0.88	1
0	11	0.99	1
0	12	0.69	1
0	12	0.85	1
0	2	0.01	67
0	2	0.02	43
0	2	0.03	43
0	2	0.04	68
0	2	0.05	44
0	2	0.06	65
0	2	0.07	61
0	2	0.08	54
0	2	0.09	65
0	2	0.1	59
0	2	0.11	72
0	2	0.12	60
0	2	0.13	61
0	2	0.14	72
0	2	0.15	57
0	2	0.16	83
0	2	0.17	64
0	2	0.18	82
0	2	0.19	81
0	2	0.2	72
0	2	0.21	78
0	2	0.22	76
0	2	0.23	82
0	2	0.24	57
0	2	0.25	84
0	2	0.26	87
0	2	0.27	100
0	2	0.28	92
0	2	0.29	87
0	2	0.3	77
0	2	0.31	98
0	2	0.32	63
0	2	0.33	60
0	2	0.34	80
0	2	0.35	99
0	2	0.36	95
0	2	0.37	79
0	2	0.38	56
0	2	0.39	96
0	2	0.4	98
0	2	0.41	115
0	2	0.42	105
0	2	0.43	67
0	2	0.44	91
0	2	0.45	88
0	2	0.46	79
0	2	0.47	66
0	2	0.48	74
0	2	0.49	105
0	2	0.5	117
0	2	0.51	101
0	2	0.52	85
0	2	0.53	83
0	2	0.54	94
0	2	0.55	125
0	2	0.56	94
0	2	0.57	77
0	2	0.58	128
0	2	0.59	91
0	2	0.6	113
0	2	0.61	121
0	2	0.62	90
0	2	0.63	131
0	2	0.64	77
0	2	0.65	115
0	2	0.66	101
0	2	0.67	107
0	2	0.68	97
0	2	0.69	97
0	2	0.7	87
0	2	0.71	92
0	2	0.72	93
0	2	0.73	120
0	2	0.74	109
0	2	0.75	128
0	2	0.76	93
0	2	0.77	127
0	2	0.78	133
0	2	0.79	149
0	2	0.8	124
0	2	0.81	132
0	2	0.82	130
0	2	0.83	103
0	2	0.84	145
0	2	0.85	134
0	2	0.86	127
0	2	0.87	141
0	2	0.88	114
0	2	0.89	88
0	2	0.9	120
0	2	0.91	121
0	2	0.92	79
0	2	0.93	107
0	2	0.94	107
0	2	0.95	146
0	2	0.96	136
0	2	0.97	130
0	2	0.98	105
0	2	0.99	110
0	3	0.01	44
0	3	0.02	25
0	3	0.03	33
0	3	0.04	43
0	3	0.05	36
0	3	0.06	49
0	3	0.07	44
0	3	0.08	37
0	3	0.09	62
0	3	0.1	37
0	3	0.11	32
0	3	0.12	42
0	3	0.13	49
0	3	0.14	36
0	3	0.15	35
0	3	0.16	50
0	3	0.17	58
0	3	0.18	41
0	3	0.19	70
0	3	0.2	40
0	3	0.21	70
0	3	0.22	60
0	3	0.23	61
0	3	0.24	57
0	3	0.25	70
