Anc	Der	PanelFreq	Num
0	1	0.01	151
0	1	0.02	128
0	1	0.03	154
0	1	0.04	123
0	1	0.05	135
0	1	0.06	150
0	1	0.07	141
0	1	0.08	126
0	1	0.09	129
0	1	0.1	146
0	1	0.11	135
0	1	0.12	127
0	1	0.13	157
0	1	0.14	116
0	1	0.15	94
0	1	0.16	135
0	1	0.17	121
0	1	0.18	180
0	1	0.19	108
0	1	0.2	128
0	1	0.21	117
0	1	0.22	143
0	1	0.23	128
0	1	0.24	127
0	1	0.25	123
0	1	0.26	140
0	1	0.27	126
0	1	0.28	106
0	1	0.29	117
0	1	0.3	122
0	1	0.31	106
0	1	0.32	119
0	1	0.33	133
0	1	0.34	111
0	1	0.35	106
0	1	0.36	147
0	1	0.37	155
0	1	0.38	113
0	1	0.39	122
0	1	0.4	119
0	1	0.41	133
0	1	0.42	123
0	1	0.43	130
0	1	0.44	110
0	1	0.45	123
0	1	0.46	108
0	1	0.47	127
0	1	0.48	144
0	1	0.49	133
0	1	0.5	109
0	1	0.51	138
0	1	0.52	117
0	1	0.53	98
0	1	0.54	99
0	1	0.55	130
0	1	0.56	132
0	1	0.57	136
0	1	0.58	120
0	1	0.59	105
0	1	0.6	126
0	1	0.61	112
0	1	0.62	140
0	1	0.63	122
0	1	0.64	141
0	1	0.65	129
0	1	0.66	132
0	1	0.67	108
0	1	0.68	110
0	1	0.69	151
0	1	0.7	159
0	1	0.71	128
0	1	0.72	124
0	1	0.73	130
0	1	0.74	107
0	1	0.75	147
0	1	0.76	127
0	1	0.77	115
0	1	0.78	142
0	1	0.79	140
0	1	0.8	108
0	1	0.81	118
0	1	0.82	151
0	1	0.83	119
0	1	0.84	132
0	1	0.85	132
0	1	0.86	140
0	1	0.87	99
0	1	0.88	142
0	1	0.89	115
0	1	0.9	118
0	1	0.91	79
0	1	0.92	104
0	1	0.93	155
0	1	0.94	103
0	1	0.95	115
0	1	0.96	120
0	1	0.97	113
0	1	0.98	136
0	1	0.99	133
0	10	0.5	2
0	10	0.54	1
0	10	0.75	1
0	10	0.76	2
0	10	0.86	1
0	10	0.9	1
0	10	0.93	1
0	10	0.97	1
0	10	0.99	3
0	11	0.59	1
0	11	0.76	1
0	11	0.84	1
0	11	0.97	1
0	12	0.71	1
0	2	0.01	57
0	2	0.02	67
0	2	0.03	60
0	2	0.04	55
0	2	0.05	56
0	2	0.06	79
0	2	0.07	77
0	2	0.08	87
0	2	0.09	79
0	2	0.1	69
0	2	0.11	78
0	2	0.12	70
0	2	0.13	83
0	2	0.14	83
0	2	0.15	80
0	2	0.16	85
0	2	0.17	84
0	2	0.18	108
