Anc	Der	PanelFreq	Num
0	1	0.01	148
0	1	0.02	140
0	1	0.03	146
0	1	0.04	142
0	1	0.05	130
0	1	0.06	147
0	1	0.07	161
0	1	0.08	148
0	1	0.09	126
0	1	0.1	119
0	1	0.11	123
0	1	0.12	146
0	1	0.13	114
0	1	0.14	131
0	1	0.15	112
0	1	0.16	133
0	1	0.17	141
0	1	0.18	145
0	1	0.19	137
0	1	0.2	165
0	1	0.21	143
0	1	0.22	124
0	1	0.23	157
0	1	0.24	126
0	1	0.25	140
0	1	0.26	148
0	1	0.27	133
0	1	0.28	174
0	1	0.29	158
0	1	0.3	143
0	1	0.31	141
0	1	0.32	154
0	1	0.33	149
0	1	0.34	135
0	1	0.35	150
0	1	0.36	132
0	1	0.37	135
0	1	0.38	120
0	1	0.39	140
0	1	0.4	133
0	1	0.41	127
0	1	0.42	88
0	1	0.43	140
0	1	0.44	126
0	1	0.45	134
0	1	0.46	188
0	1	0.47	124
0	1	0.48	113
0	1	0.49	158
0	1	0.5	117
0	1	0.51	129
0	1	0.52	141
0	1	0.53	150
0	1	0.54	143
0	1	0.55	136
0	1	0.56	167
0	1	0.57	146
0	1	0.58	113
0	1	0.59	121
0	1	0.6	120
0	1	0.61	143
0	1	0.62	111
0	1	0.63	130
0	1	0.64	173
0	1	0.65	144
0	1	0.66	140
0	1	0.67	119
0	1	0.68	122
0	1	0.69	173
0	1	0.7	153
0	1	0.71	143
0	1	0.72	142
0	1	0.73	136
0	1	0.74	147
0	1	0.75	120
0	1	0.76	135
0	1	0.77	157
0	1	0.78	169
0	1	0.79	146
0	1	0.8	128
0	1	0.81	119
0	1	0.82	141
0	1	0.83	117
0	1	0.84	126
0	1	0.85	158
0	1	0.86	124
0	1	0.87	109
0	1	0.88	130
0	1	0.89	116
0	1	0.9	146
0	1	0.91	116
0	1	0.92	145
0	1	0.93	132
0	1	0.94	148
0	1	0.95	135
0	1	0.96	120
0	1	0.97	139
0	1	0.98	120
0	1	0.99	120
0	10	0.01	1
0	10	0.37	1
0	10	0.52	1
0	10	0.53	1
0	10	0.61	1
0	10	0.63	1
0	10	0.66	1
0	10	0.68	1
0	10	0.77	1
0	10	0.78	1
0	10	0.81	1
0	10	0.82	2
0	10	0.84	1
0	10	0.96	1
0	10	0.97	1
0	10	0.99	1
0	11	0.52	1
0	11	0.63	1
0	11	0.86	1
0	11	0.87	1
