Anc	Der	PanelFreq	Num
0	1	0.01	129
0	1	0.02	118
0	1	0.03	90
0	1	0.04	90
0	1	0.05	115
0	1	0.06	104
0	1	0.07	118
0	1	0.08	110
0	1	0.09	120
0	1	0.1	117
0	1	0.11	81
0	1	0.12	108
0	1	0.13	90
0	1	0.14	87
0	1	0.15	112
0	1	0.16	95
0	1	0.17	108
0	1	0.18	93
0	1	0.19	92
0	1	0.2	92
0	1	0.21	86
0	1	0.22	91
0	1	0.23	87
0	1	0.24	83
0	1	0.25	96
0	1	0.26	78
0	1	0.27	98
0	1	0.28	117
0	1	0.29	80
0	1	0.3	111
0	1	0.31	105
0	1	0.32	107
0	1	0.33	85
0	1	0.34	100
0	1	0.35	95
0	1	0.36	95
0	1	0.37	104
0	1	0.38	123
0	1	0.39	116
0	1	0.4	106
0	1	0.41	95
0	1	0.42	88
0	1	0.43	89
0	1	0.44	81
0	1	0.45	107
0	1	0.46	90
0	1	0.47	109
0	1	0.48	95
0	1	0.49	99
0	1	0.5	92
0	1	0.51	87
0	1	0.52	93
0	1	0.53	93
0	1	0.54	110
0	1	0.55	81
0	1	0.56	92
0	1	0.57	104
0	1	0.58	96
0	1	0.59	87
0	1	0.6	99
0	1	0.61	73
0	1	0.62	98
0	1	0.63	87
0	1	0.64	80
0	1	0.65	120
0	1	0.66	101
0	1	0.67	134
0	1	0.68	71
0	1	0.69	107
0	1	0.7	97
0	1	0.71	80
0	1	0.72	100
0	1	0.73	79
0	1	0.74	87
0	1	0.75	112
0	1	0.76	96
0	1	0.77	82
0	1	0.78	96
0	1	0.79	105
0	1	0.8	104
0	1	0.81	112
0	1	0.82	102
0	1	0.83	68
0	1	0.84	78
0	1	0.85	97
0	1	0.86	72
0	1	0.87	91
0	1	0.88	118
0	1	0.89	84
0	1	0.9	90
0	1	0.91	112
0	1	0.92	97
0	1	0.93	119
0	1	0.94	82
0	1	0.95	69
0	1	0.96	97
0	1	0.97	82
0	1	0.98	100
0	1	0.99	86
0	10	0.18	1
0	10	0.22	1
0	10	0.37	1
0	10	0.38	1
0	10	0.47	1
0	10	0.49	1
0	10	0.55	1
0	10	0.57	1
0	10	0.61	1
0	10	0.64	1
0	10	0.66	1
0	10	0.67	1
0	10	0.69	1
0	10	0.78	1
0	10	0.85	2
0	10	0.89	1
0	10	0.9	1
0	10	0.91	1
0	10	0.93	2
0	10	0.99	1
0	11	0.06	1
0	11	0.35	1
0	11	0.86	1
0	11	0.93	1
0	2	0.01	106
0	2	0.02	105
0	2	0.03	106
0	2	0.04	86
0	2	0.05	87
0	2	0.06	87
0	2	0.07	73
0	2	0.08	98
0	2	0.09	103
0	2	0.1	95
0	2	0.11	93
0	2	0.12	95
0	2	0.13	91
0	2	0.14	79
0	2	0.15	108
0	2	0.16	85
0	2	0.17	122
0	2	0.18	85
0	2	0.19	100
0	2	0.2	103
0	2	0.21	93
0	2	0.22	96
0	2	0.23	88
0	2	0.24	82
0	2	0.25	95
0	2	0.26	74
0	2	0.27	93
0	2	0.28	114
0	2	0.29	84
0	2	0.3	103
0	2	0.31	79
0	2	0.32	94
0	2	0.33	85
0	2	0.34	93
0	2	0.35	108
0	2	0.36	119
0	2	0.37	108
0	2	0.38	140
0	2	0.39	120
0	2	0.4	90
0	2	0.41	106
0	2	0.42	102
0	2	0.43	118
0	2	0.44	88
0	2	0.45	126
0	2	0.46	97
0	2	0.47	117
0	2	0.48	119
0	2	0.49	78
0	2	0.5	97
0	2	0.51	121
0	2	0.52	97
0	2	0.53	101
0	2	0.54	117
0	2	0.55	93
0	2	0.56	119
0	2	0.57	109
0	2	0.58	105
0	2	0.59	93
0	2	0.6	114
0	2	0.61	92
0	2	0.62	113
0	2	0.63	111
0	2	0.64	113
0	2	0.65	147
0	2	0.66	118
0	2	0.67	154
0	2	0.68	100
0	2	0.69	99
0	2	0.7	118
0	2	0.71	109
0	2	0.72	100
0	2	0.73	89
0	2	0.74	121
0	2	0.75	128
0	2	0.76	118
0	2	0.77	94
0	2	0.78	151
0	2	0.79	129
0	2	0.8	130
0	2	0.81	141
0	2	0.82	132
0	2	0.83	95
0	2	0.84	135
0	2	0.85	122
0	2	0.86	110
0	2	0.87	83
0	2	0.88	133
0	2	0.89	130
0	2	0.9	93
0	2	0.91	152
0	2	0.92	126
0	2	0.93	138
0	2	0.94	104
0	2	0.95	93
0	2	0.96	120
0	2	0.97	115
0	2	0.98	140
0	2	0.99	122
0	3	0.01	66
0	3	0.02	67
0	3	0.03	69
0	3	0.04	76
0	3	0.05	76
0	3	0.06	63
0	3	0.07	71
0	3	0.08	78
0	3	0.09	67
0	3	0.1	104
0	3	0.11	67
0	3	0.12	56
0	3	0.13	49
0	3	0.14	70
0	3	0.15	96
0	3	0.16	69
0	3	0.17	92
0	3	0.18	72
0	3	0.19	75
0	3	0.2	90
0	3	0.21	60
0	3	0.22	98
0	3	0.23	69
0	3	0.24	73
0	3	0.25	77
0	3	0.26	65
0	3	0.27	82
0	3	0.28	87
0	3	0.29	76
0	3	0.3	78
0	3	0.31	70
0	3	0.32	93
0	3	0.33	60
0	3	0.34	109
0	3	0.35	72
0	3	0.36	81
0	3	0.37	86
0	3	0.38	107
0	3	0.39	128
0	3	0.4	68
0	3	0.41	100
0	3	0.42	90
0	3	0.43	71
0	3	0.44	65
0	3	0.45	59
0	3	0.46	79
0	3	0.47	108
0	3	0.48	89
0	3	0.49	91
0	3	0.5	96
0	3	0.51	94
0	3	0.52	96
0	3	0.53	95
0	3	0.54	99
0	3	0.55	74
0	3	0.56	124
0	3	0.57	95
0	3	0.58	97
0	3	0.59	91
0	3	0.6	111
0	3	0.61	80
0	3	0.62	98
0	3	0.63	82
0	3	0.64	116
0	3	0.65	83
0	3	0.66	84
0	3	0.67	147
0	3	0.68	101
0	3	0.69	73
0	3	0.7	115
0	3	0.71	74
0	3	0.72	116
0	3	0.73	89
0	3	0.74	114
0	3	0.75	119
0	3	0.76	109
0	3	0.77	83
0	3	0.78	121
0	3	0.79	100
0	3	0.8	122
0	3	0.81	125
0	3	0.82	97
0	3	0.83	88
0	3	0.84	117
0	3	0.85	87
0	3	0.86	91
0	3	0.87	82
0	3	0.88	98
0	3	0.89	96
0	3	0.9	96
0	3	0.91	153
0	3	0.92	101
0	3	0.93	128
0	3	0.94	113
0	3	0.95	73
0	3	0.96	120
0	3	0.97	101
0	3	0.98	139
0	3	0.99	123
0	4	0.01	43
0	4	0.02	66
0	4	0.03	42
0	4	0.04	44
0	4	0.05	53
0	4	0.06	53
0	4	0.07	45
0	4	0.08	52
0	4	0.09	45
0	4	0.1	57
0	4	0.11	45
0	4	0.12	46
0	4	0.13	38
0	4	0.14	51
0	4	0.15	47
0	4	0.16	41
0	4	0.17	62
0	4	0.18	48
0	4	0.19	38
0	4	0.2	53
0	4	0.21	55
0	4	0.22	57
0	4	0.23	44
0	4	0.24	39
0	4	0.25	56
0	4	0.26	38
0	4	0.27	61
0	4	0.28	72
0	4	0.29	42
0	4	0.3	63
0	4	0.31	53
0	4	0.32	68
0	4	0.33	56
0	4	0.34	57
0	4	0.35	67
0	4	0.36	52
0	4	0.37	42
0	4	0.38	68
0	4	0.39	56
0	4	0.4	63
0	4	0.41	65
0	4	0.42	53
0	4	0.43	46
0	4	0.44	55
0	4	0.45	50
